type,alcool,sulphites,pH,densite,chlorure,sucre_residuel,acide_citrique,acidite_volatile,acidite_non_volatile,dioxyde_souffre_total,dioxyde_souffre_libre,qualite
NA,12.2,0.49,3.22,0.99198,0.058,NA,0.27,0.3,6.4,151,27,6
blanc,8.9,0.47,3.16,NA,0.052,7.6,0.49,0.25,6.1,226,67,5
NA,10.9,0.45,3.11,0.99469,0.039,10.2,0.28,0.18,6.7,115,29,7
NA,9.6,0.44,3.04,0.9952,0.054,6.7,0.44,0.31,6.7,160,29,5
NA,NA,0.49,3.2,0.9938,0.025,5.7,0.37,0.17,7,111,29,6
NA,10.4,0.7,3.12,0.99305,0.043,1.6,0.34,0.23,7.6,129,24,5
NA,10.2,0.64,3.09,NA,0.051,17.7,0.31,0.27,7.5,173,33,5
NA,11.1,0.39,3.23,0.9938,0.08,4.6,0.27,0.13,7.3,172,34,7
NA,9.6,0.51,3.2,NA,0.053,8.3,0.5,0.36,6.3,202,51,6
blanc,12.9,0.78,3.27,0.99302,0.029,NA,0.26,0.5,6.6,110,32,8
NA,11.2,0.42,3.12,0.9904,0.044,NA,0.29,0.4,6.8,97,27,6
NA,NA,0.42,3.12,0.9938,0.036,6.7,0.39,0.29,7.9,117,6,5
NA,11.2,0.54,3.45,0.99402,0.078,1.7,0.09,0.48,6.1,30,18,6
NA,NA,0.38,3.37,0.9998,0.056,16.9,0.32,0.22,7.1,158,49,6
blanc,10,0.29,2.87,0.9958,0.034,9.85,0.48,0.42,9.8,110,5,5
NA,NA,0.39,3.12,0.9927,0.135,1.1,0.6,0.21,6.6,144,61,7
NA,11.4,0.54,3.03,0.99043,0.041,1,0.38,0.14,6.9,81,22,6
NA,11.1,0.54,3.05,0.9948,0.037,NA,0.37,0.28,6.9,76,16,5
NA,9.5,0.78,3.35,0.9958,0.085,1.5,0.04,0.5,6.9,49,19,5
NA,11.1,0.44,3.32,0.99076,0.035,NA,0.31,0.27,6.1,83,17,7
NA,NA,0.66,3.24,0.9968,0.118,2,0.56,0.745,8,134,30,5
NA,9,0.44,3.27,0.998,0.049,NA,0.2,0.44,7.4,157,44,5
NA,10.2,0.51,3.27,NA,0.036,1.5,0.35,0.16,7.3,108,29,6
blanc,13.4,0.47,3.23,0.98968,0.038,2.8,0.2,0.42,7.1,109,28,6
NA,9,0.53,3.12,0.99865,0.052,NA,0.19,0.23,7.2,197,47,5
NA,10.4,0.6,3.42,NA,0.034,1.5,0.4,0.32,7.1,84,13,5
NA,9.2,0.54,2.99,1.0012,0.054,19.8,0.49,0.21,8.3,231,50,5
NA,9.8,0.48,3.17,0.9942,0.07,NA,0.06,0.62,7.1,12,5,5
NA,NA,0.54,3.24,0.99168,0.028,1.1,0.29,0.28,5.2,69,18,6
NA,10,0.41,3.13,0.9936,0.04,NA,0.49,0.28,8.1,148,32,6
NA,9.2,0.36,3.12,0.9958,0.042,6.8,0.72,0.22,6.5,168,33,6
NA,11.4,0.41,3.08,0.992,0.048,1.4,0.32,0.43,6.4,67,10,5
NA,10,0.6,3.32,0.9965,0.077,2.4,0,0.64,7.5,29,18,6
NA,10.2,0.35,3.31,0.99435,0.042,5.4,0.19,0.28,6.4,181,67,6
NA,12.7,0.34,3.05,0.99,0.045,NA,0.49,0.22,7.2,140,34,6
blanc,10,0.33,3.21,0.9952,0.043,NA,0.49,0.49,7.8,149,29,5
NA,8.8,0.41,2.94,NA,0.057,13.9,0.27,0.19,7.3,155,45,8
rouge,11.5,0.77,3.28,0.99734,0.132,NA,0.52,0.32,10.9,44,17,6
NA,9.8,0.46,3.13,0.9954,0.069,7.4,0.26,0.31,7,160,28,6
blanc,10,0.31,3.29,0.99512,0.034,NA,0.32,0.15,6.7,81,17,6
NA,NA,0.83,3.02,0.99572,0.06,2.2,0.53,0.31,11.1,10,3,7
NA,10.8,0.37,3.33,0.9942,0.083,4.9,0.36,0.24,7,133,10,6
NA,10.2,0.5,3.19,0.99137,0.037,1.2,0.32,0.15,5.8,119,14,6
blanc,9.5,0.37,3.12,0.99612,0.05,NA,0.3,0.16,7.9,152,58,6
NA,NA,0.68,2.99,0.9914,0.03,2.1,0.27,0.24,8.3,162,22,6
NA,10.5,0.71,3.49,NA,0.038,1.7,0.27,0.21,6.2,150,41,7
NA,9.9,0.58,3.06,0.9936,0.043,6.3,0.26,0.16,5.7,113,28,6
NA,NA,0.59,3.08,0.99164,0.03,7.6,0.43,0.28,6.8,110,30,8
NA,9.1,0.5,3.42,0.99405,0.055,NA,0.28,0.35,6.4,160,9,7
NA,11.8,0.43,2.99,0.99075,0.033,NA,0.28,0.21,7.2,94,38,7
NA,11.5,0.5,3.1,0.98974,0.052,1.6,0.36,0.13,6,72,23,7
blanc,9,0.46,3.15,NA,0.044,11.4,0.09,0.815,7.3,204,45,5
blanc,10.8,0.38,3.4,NA,0.051,12.55,0.16,0.205,5.4,115,31,6
NA,9.5,0.46,3.32,0.9974,0.048,8.5,0.42,0.44,6.9,147,10,6
NA,9.3,0.6,3.29,0.99572,0.07,1.6,0.07,0.66,6.8,61,16,5
blanc,10.4,0.53,3.26,0.9929,0.041,1.4,0.3,0.24,7.7,102,15,6
NA,12,0.62,3.19,0.9918,0.037,1.4,0.32,0.37,7.1,126,27,5
NA,11.3,0.75,3.11,0.99058,0.051,NA,0.44,0.16,6.4,122,39,7
blanc,10.2,0.54,3.42,0.9934,0.049,1.4,0.25,0.23,7.4,141,43,7
NA,11.5,0.68,3.08,0.9909,0.036,1.4,0.4,0.19,6.9,55,14,7
NA,NA,0.43,3.17,0.9967,0.044,12.9,0.27,0.26,6.5,215,69,6
NA,NA,0.36,3.2,0.99388,0.03,10.3,0.27,0.28,6.2,108,26,6
NA,NA,0.48,3.32,0.99669,0.07,3.9,0.14,0.57,6.4,73,27,5
blanc,8.9,0.36,3.3,NA,0.048,12.4,0.26,0.19,6,147,50,6
rouge,11.8,0.93,3.26,0.9979,0.107,3.4,0.5,0.42,10,21,7,6
blanc,11.5,0.45,3.15,0.99458,0.032,4.6,0.35,0.3,8.9,148,32,7
NA,NA,0.42,3.25,0.9924,0.044,4.45,0.74,0.2,8.3,130,33,6
NA,9.8,0.58,3.15,0.99726,0.081,2.5,0.38,0.45,9.8,66,34,5
rouge,10.6,0.86,3.34,0.9976,0.091,2.5,0.09,0.52,8.7,49,20,7
NA,11.6,0.45,3.04,NA,0.041,2,0.34,0.24,5.6,73,14,7
NA,9.9,0.38,3.13,0.99588,0.06,NA,0.19,0.35,6.6,82,15,4
NA,9.4,0.76,3.25,0.99922,0.045,15.7,0.36,0.21,7.2,183,68,5
NA,9.6,0.58,3.32,0.9935,0.04,1.1,0.39,0.26,6.7,147,45,8
blanc,NA,0.38,3.13,0.992,0.05,0.9,0.35,0.2,8.3,74,12,6
NA,9.5,0.93,3.19,0.9964,0.104,1.8,0.19,0.56,7.8,47,12,5
NA,9.1,0.49,3.14,0.9986,0.053,NA,0.3,0.19,7.4,229,48.5,7
blanc,NA,0.34,3.1,0.9937,0.173,2.9,0.39,0.24,6.7,157,63,6
NA,9.4,0.39,3.28,NA,0.054,12.9,0.3,0.23,5.9,170,57,5
blanc,10,0.55,3.36,0.9956,0.044,7.3,0.29,0.35,6.2,244,56,6
NA,10,0.47,3.26,0.9962,0.088,2.1,0.27,0.915,8.2,23,7,4
NA,NA,0.63,3.18,0.9991,0.045,14.3,0.42,0.3,7.7,213,45,5
NA,NA,0.85,3.16,0.99518,0.058,1.9,0.27,0.47,8.5,38,18,6
NA,10.9,0.34,2.89,NA,0.032,6.1,0.46,0.27,8.6,41,13,5
NA,NA,0.47,3.1,0.9951,0.032,10.2,0.28,0.29,7.4,138,43,6
blanc,NA,0.45,3.24,0.99,0.04,2,0.34,0.17,6.8,111,38,6
blanc,11.9,0.43,3.19,0.99,0.036,NA,0.39,0.23,6.5,98,41,7
NA,10.2,0.78,3.24,0.99742,0.044,NA,0.41,0.15,6.8,183,79.5,6
NA,NA,0.81,3.17,0.9955,0.063,2.3,0.43,0.37,8.4,19,12,7
NA,9,0.56,3.1,1.0006,0.071,NA,0.52,0.46,13.2,35,12,6
blanc,11.5,0.46,3.18,0.99245,0.034,6.7,0.41,0.22,6.8,116,39,6
rouge,11.1,0.59,3.6,0.99648,0.078,2.5,0.24,0.43,7.3,67,27,6
NA,9.1,0.61,3.26,0.9974,0.075,2.7,0.05,0.69,7.7,27,15,5
NA,9.5,0.54,3.33,NA,0.081,2.1,0.19,0.56,7.8,105,15,5
NA,9.2,0.52,3.23,0.9934,0.069,1.4,0.07,0.35,6.1,108,22,5
NA,NA,0.78,3.36,0.9966,0.088,2.5,0.49,0.365,7.3,106,39,5
NA,11.3,0.48,3.2,NA,0.044,1.2,0.29,0.18,7.3,143,12,7
NA,10.1,0.44,3.28,0.99266,0.052,1.2,0.32,0.3,6.2,185,32,5
rouge,NA,0.53,3.31,0.9976,0.084,2.1,0.26,0.675,8.3,43,11,4
NA,11,0.45,3.22,NA,0.044,1.5,0.43,0.22,8.1,129,28,6
NA,11.3,0.66,3.37,0.99048,0.051,1.2,0.33,0.255,5.4,122,29,6
NA,9.7,0.29,3.11,0.99687,0.038,11.95,0.55,0.35,6.9,111,22,5
NA,12.2,0.77,2.95,0.99077,0.029,2,0.31,0.26,8.3,141,14,6
NA,NA,0.52,3.13,0.99458,0.053,5,0.23,0.33,5.8,106,29,5
blanc,NA,0.65,3.29,0.99064,0.033,2,0.33,0.31,6.7,74,12,6
rouge,NA,0.57,3.32,0.9964,0.087,3,0.14,0.41,7.6,43,21,6
NA,9.7,0.5,3.5,NA,0.048,2.4,0.32,0.17,6.4,200,41,6
rouge,NA,0.51,3.29,0.9967,0.077,2.1,0.22,0.575,8.1,65,12,5
NA,10.4,0.58,3.03,0.99546,0.052,11.9,0.29,0.26,6.8,160,54,6
blanc,9.2,0.34,3.06,NA,0.037,7.1,0.3,0.23,6.4,236,63,6
NA,10,0.64,3.22,NA,0.049,2.6,0.5,0.32,5.7,155,17,6
NA,NA,0.52,3.34,0.99473,0.042,8.4,0.36,0.24,6.7,123,42,6
rouge,10.1,0.97,3.28,0.9996,0.104,4,0.51,0.18,11.5,23,4,6
blanc,8.9,0.45,3.13,NA,0.047,7.6,0.31,0.26,7.4,177,52,6
blanc,12.2,0.23,2.91,0.99148,0.035,NA,0.25,0.34,8,103,38,6
blanc,9.8,0.96,3.3,NA,0.051,1.2,0.4,0.14,7.1,136,55,7
rouge,NA,0.54,3.25,0.9968,0.074,2,0.33,0.59,7.8,120,24,5
blanc,9.5,0.48,3.18,0.99551,0.043,NA,0.44,0.34,6.4,201,54,5
NA,10.65,0.55,3.29,0.99094,0.037,1,0.28,0.18,5.9,88,24,7
NA,12.9,0.6,3.85,NA,0.058,2.3,0.17,0.6,4.7,106,17,6
NA,11.5,1,3.16,NA,0.103,3,0.58,0.49,12.4,99,28,6
